skills,career
"python pandas sql machine learning numpy",Data Scientist
"python sql pandas statistics",Data Scientist
"machine learning python scikit-learn numpy",Data Scientist
"python pandas matplotlib seaborn",Data Scientist
"python numpy deep learning tensorflow",Data Scientist
"python statistics probability sql",Data Scientist
"machine learning data analysis python",Data Scientist
"python pandas data visualization",Data Scientist
"python numpy predictive modeling",Data Scientist
"python scikit-learn feature engineering",Data Scientist

"sql excel power bi tableau",Data Analyst
"sql excel tableau reporting",Data Analyst
"power bi sql dashboard excel",Data Analyst
"sql data cleaning excel",Data Analyst
"excel reporting tableau",Data Analyst
"sql power bi analytics",Data Analyst
"dashboard tableau excel",Data Analyst
"sql business intelligence excel",Data Analyst
"excel visualization reporting",Data Analyst
"power bi tableau sql",Data Analyst

"java spring sql docker",Software Engineer
"java javascript reactjs nodejs",Software Engineer
"docker mongodb java sql",Software Engineer
"java microservices spring boot",Software Engineer
"reactjs nodejs mongodb",Software Engineer
"java backend development",Software Engineer
"spring boot mysql java",Software Engineer
"javascript frontend reactjs",Software Engineer
"docker java deployment",Software Engineer
"nodejs express mongodb",Software Engineer

"python machine learning docker aws",ML Engineer
"python scikit-learn aws docker",ML Engineer
"tensorflow pytorch python aws",ML Engineer
"deep learning tensorflow python",ML Engineer
"machine learning model deployment",ML Engineer
"aws docker kubernetes python",ML Engineer
"computer vision pytorch",ML Engineer
"nlp transformers python",ML Engineer
"tensorflow keras machine learning",ML Engineer
"mlops docker aws",ML Engineer

"python sql spark hadoop",Data Engineer
"aws spark hadoop sql",Data Engineer
"python airflow spark sql",Data Engineer
"spark big data hadoop",Data Engineer
"etl sql python",Data Engineer
"data warehouse sql",Data Engineer
"airflow data pipeline",Data Engineer
"aws glue spark",Data Engineer
"hadoop spark hive",Data Engineer
"python pyspark sql",Data Engineer
"etl airflow python",Data Engineer
"spark kafka streaming",Data Engineer
"data engineering aws",Data Engineer
"hive hadoop spark",Data Engineer
"big data sql python",Data Engineer
"airflow etl spark",Data Engineer
"data pipeline sql",Data Engineer
"aws redshift sql",Data Engineer
"pyspark big data",Data Engineer
"kafka spark hadoop",Data Engineer
